lead_text	photo_url	title	url	wikipedia_link
"Hugh Lupus Grosvenor, 1st Duke of Westminster, KG, PC, JP (13 October 1825 – 22 December 1899), styled Viscount Belgrave between 1831 and 1845, Earl Grosvenor between 1845 and 1869, and known as The Marquess of Westminster between 1869 and 1874, was an English landowner, politician and racehorse owner. He inherited the estate of Eaton Hall in Cheshire and land in Mayfair and Belgravia, London, and spent much of his fortune in developing these properties. Although he was a member of parliament from the age of 22, and then a member of the House of Lords, his main interests were not in politics, but rather in his estates, in horse racing, and in country pursuits. He developed the stud at Eaton Hall and achieved success in racing his horses, winning the Derby on four occasions. Grosvenor also"	http://dbpedia.org/resource/University_of_Oxford	"Hugh Grosvenor, 1st Duke of Westminster"	"https://dbpedia.org/page/Hugh_Grosvenor,_1st_Duke_of_Westminster"	"http://en.wikipedia.org/wiki/Hugh_Grosvenor,_1st_Duke_of_Westminster?oldid=1123248553&ns=0"
"Edward Preble (August 15, 1761 – August 25, 1807) was a United States naval officer who served with great distinction during the 1st Barbary War, leading American attacks on the city of Tripoli and forming the officer corps that would later lead the U.S. Navy in the War of 1812."	http://dbpedia.org/resource/American_Revolutionary_War	Edward Preble	https://dbpedia.org/page/Edward_Preble	http://en.wikipedia.org/wiki/Edward_Preble?oldid=1115755481&ns=0
"The precautionary principle (or precautionary approach) is a broad epistemological, philosophical and legal approach to innovations with potential for causing harm when extensive scientific knowledge on the matter is lacking. It emphasizes caution, pausing and review before leaping into new innovations that may prove disastrous. Critics argue that it is vague, self-cancelling, unscientific and an obstacle to progress."	http://commons.wikimedia.org/wiki/Special:FilePath/Harvest_Control_Rule_graph.gif?width=300	Precautionary principle	https://dbpedia.org/page/Precautionary_principle	http://en.wikipedia.org/wiki/Precautionary_principle?oldid=1100058819&ns=0
"The Steirische Harmonika (German pronunciation: [ˈʃtaɪ̯rɪʃə harˌmoːnika]) is a type of bisonoric diatonic button accordion important to the alpine folk music of Croatia (Hrvatsko zagorje), Slovenia, the Czech Republic, Austria, the German state of Bavaria, and the Italian South Tyrol. The Steirische Harmonika is distinguished from other diatonic button accordions by its typically richer bass notes, and by the presence of one key per scale row that has the same tone on both compression and expansion of the bellows, called a Gleichton. The bass notes earn the distinction Helikonbässe because they use bigger reeds with duralumin reed frames and a special chamber construction that amplifies its bass tones to give it a loud sound reminiscent of a Helicon tuba."	http://commons.wikimedia.org/wiki/Special:FilePath/Pappel.jpg?width=300	Steirische Harmonika	https://dbpedia.org/page/Steirische_Harmonika	http://en.wikipedia.org/wiki/Steirische_Harmonika?oldid=1078195629&ns=0
"Alexander Weissberg-Cybulski (born October 8, 1901 – April 4, 1964) was a Polish-Austrian physicist, writer and businessman of Jewish descent. His testimony in the trial David Rousset vs. Les Lettres francaises and his book The Accused contributed significantly to spreading knowledge about Stalinist terror and show trials in Western Europe."	http://commons.wikimedia.org/wiki/Special:FilePath/Aleksander_Weissberg-Cybulski.jpg?width=300	Alexander Weissberg-Cybulski	https://dbpedia.org/page/Alexander_Weissberg-Cybulski	http://en.wikipedia.org/wiki/Alexander_Weissberg-Cybulski?oldid=1120751617&ns=0
"Edith Madeleine Carroll (26 February 1906 – 2 October 1987) was an English actress, popular both in Britain and America in the 1930s and 1940s. At the peak of her success in 1938, she was the world's highest-paid actress."	http://dbpedia.org/resource/University_of_Birmingham	Madeleine Carroll	https://dbpedia.org/page/Madeleine_Carroll	http://en.wikipedia.org/wiki/Madeleine_Carroll?oldid=1124598048&ns=0
"Jón Baldvin Hannibalsson (born 21 February 1939) is an Icelandic politician and diplomat.He was Minister of Finance from 1987 to 1988 and Minister of Foreign Affairs from 1988 to 1995. He is known in the Baltics as, at his initiative, Iceland became the first nation to recognize the independence of the Baltic states in 1991."	http://dbpedia.org/resource/Social_Democratic_Party_(Iceland)	Jón Baldvin Hannibalsson	https://dbpedia.org/page/J%C3%B3n_Baldvin_Hannibalsson	http://en.wikipedia.org/wiki/Jón_Baldvin_Hannibalsson?oldid=1119138099&ns=0
"The Collegium Musicum was one of several types of musical societies that arose in German and German-Swiss cities and towns during the Reformation and thrived into the mid-18th century. Generally, while societies such as the (chorale) cultivated vocal music for church performance and the discussed musical philosophy over a banquet, the collegia musica performed both vocal and instrumental music for pleasure; they focused on instrumental music as it rose in stature during the Baroque era. Though closed amateur societies in concept, collegia frequently included professionals to fill out the music and admitted non-members to performances. Moreover, they often provided music for church, state, and academic occasions and gained the patronage of leading citizens. From the 1660s, their functions"	http://commons.wikimedia.org/wiki/Special:FilePath/Collegium_musicum_1790.jpg?width=300	Collegium Musicum	https://dbpedia.org/page/Collegium_Musicum	http://en.wikipedia.org/wiki/Collegium_Musicum?oldid=1013192029&ns=0
"Publius Nigidius Figulus (c. 98 – 45 BC) was a scholar of the Late Roman Republic and one of the praetors for 58 BC. He was a friend of Cicero, to whom he gave his support at the time of the Catilinarian conspiracy. Nigidius sided with the Optimates in the civil war between Julius Caesar and Pompeius Magnus."	http://commons.wikimedia.org/wiki/Special:FilePath/Piacenza_Bronzeleber.jpg?width=300	Nigidius Figulus	https://dbpedia.org/page/Nigidius_Figulus	http://en.wikipedia.org/wiki/Nigidius_Figulus?oldid=1107955650&ns=0
"Louis Marshall Jones (October 20, 1913 – February 19, 1998), known professionally as Grandpa Jones, was an American banjo player and ""old time"" country and gospel music singer. He is a member of the Country Music Hall of Fame."	http://dbpedia.org/resource/Bradley_Kincaid	Grandpa Jones	https://dbpedia.org/page/Grandpa_Jones	http://en.wikipedia.org/wiki/Grandpa_Jones?oldid=1121746220&ns=0
"Theodore Fulton Stevens Sr. (November 18, 1923 – August 9, 2010) was an American politician and lawyer who served as a U.S. Senator from Alaska from 1968 to 2009. He was the longest-serving Republican Senator in history at the time he left office, though his record was later surpassed in January 2017 by Utah Senator Orrin Hatch. He was the president pro tempore of the United States Senate in the 108th and 109th Congresses from January 3, 2003, to January 3, 2007, and was the third U.S. Senator to hold the title of president pro tempore emeritus. He was previously Solicitor of the Department of the Interior from September 1960 to January 1961."	http://dbpedia.org/resource/Indianapolis	Ted Stevens	https://dbpedia.org/page/Ted_Stevens	http://en.wikipedia.org/wiki/Ted_Stevens?oldid=1124168807&ns=0
"Walter Ernsting (13 June 1920 – 15 January 2005) was a German science fiction and fantasy author who mainly published under the pseudonym Clark Darlton. He grew up in Koblenz and was drafted into the German Wehrmacht shortly after the beginning of World War II. He served in an intelligence unit in Norway and on the Eastern Front, where he was captured and spent several years as a prisoner of war in Siberia. Over the course of his lifetime, Ernsting wrote more than 300 science fiction novels. Asteroid 15265, discovered in 1990, was named after Ernsting in 2003."	http://dbpedia.org/resource/Koblenz	Walter Ernsting	https://dbpedia.org/page/Walter_Ernsting	http://en.wikipedia.org/wiki/Walter_Ernsting?oldid=1035932311&ns=0
"Monika Fludernik (born 1957), a native Austrian, is professor of English literature and culture at the Albert Ludwigs University of Freiburg, Germany. Fludernik earned her doctorate at the University of Graz, Austria, where she studied with professor Franz Karl Stanzel. In 1984, she took up an associate professorship at the University of Vienna, and since 1994 she has been a full professor at Freiburg. Fludernik has held several temporary fellowships, at the Universities of Oxford, and Harvard, among other places, and she is a corresponding member of the Austrian Academy of Sciences. Since 2008 she is also a member of Academia Europaea."	https://www.anglistik.uni-freiburg.de/department/dept-admin-sections/literary-studies/fludernik_chair/current-projects/koselleck	Monika Fludernik	https://dbpedia.org/page/Monika_Fludernik	http://en.wikipedia.org/wiki/Monika_Fludernik?oldid=1124040699&ns=0
"Hélyette Geman is a French academic in the field of mathematical finance. Her career has spanned several sub-disciplines including insurance, probability theory and the finance of commodities. She is a Professor of Mathematical Finance at Birkbeck College, University of London where she is the Director of the Commodity Finance Centre and Research Professor at Johns Hopkins University."	http://dbpedia.org/resource/Probability_Theory	Hélyette Geman	https://dbpedia.org/page/H%C3%A9lyette_Geman	http://en.wikipedia.org/wiki/Hélyette_Geman?oldid=1088992906&ns=0
"Rehoboth is a town in central Namibia just north of the Tropic of Capricorn. Located 90 kilometres (55 miles) south of the Namibian capital Windhoek, Rehoboth lies on a high elevation plateau with several natural hot-water springs. It receives sparse mean annual rainfall of 240 millimetres (9.4 in), although in the 2010/2011 rainy season a record 731 millimetres (28.8 in) were measured. In 2005, it had a population of 21,378 later increased to 28,843 in 2011, according to the 2011 Namibian Population and Housing Census."	http://dbpedia.org/resource/Rehoboth_Urban_West	"Rehoboth, Namibia"	"https://dbpedia.org/page/Rehoboth,_Namibia"	"http://en.wikipedia.org/wiki/Rehoboth,_Namibia?oldid=1121640230&ns=0"
"Solid-state electronics means semiconductor electronics: electronic equipment using semiconductor devices such as transistors, diodes and integrated circuits (ICs). The term is also used as an adjective for devices in which semiconductor electronics that have no moving parts replace devices with moving parts, such as the solid-state relay in which transistor switches are used in place of a moving-arm electromechanical relay, or the solid-state drive (SSD) a type of semiconductor memory used in computers to replace hard disk drives, which store data on a rotating disk."	http://commons.wikimedia.org/wiki/Special:FilePath/Integrated_circuit_on_microchip.jpg?width=300	Solid-state electronics	https://dbpedia.org/page/Solid-state_electronics	http://en.wikipedia.org/wiki/Solid-state_electronics?oldid=1124170812&ns=0
"Julie Frances Christie (born 14 April 1940) is a British actress. An icon of the ""Swinging Sixties"", Christie is the recipient of numerous accolades including an Academy Award, a BAFTA Award, a Golden Globe, and a Screen Actors Guild Award. She has appeared in six films ranked in the British Film Institute's BFI Top 100 British films of the 20th century, and in 1997, she received the BAFTA Fellowship for lifetime achievement."	http://dbpedia.org/resource/Colonial_Assam	Julie Christie	https://dbpedia.org/page/Julie_Christie	http://en.wikipedia.org/wiki/Julie_Christie?oldid=1120536817&ns=0
"Johannes Heil (born 3 February 1978) is a German electronic music producer from Ober-Mörlen near Frankfurt, who has released on Cocoon Recordings (including contributing a track to their 'Cocoon Compilation F' release)."	http://commons.wikimedia.org/wiki/Special:FilePath/Johannes_Heil.jpg?width=300	Johannes Heil	https://dbpedia.org/page/Johannes_Heil	http://en.wikipedia.org/wiki/Johannes_Heil?oldid=1071426174&ns=0
"John Hoyt (born John McArthur Hoysradt; October 5, 1905 – September 15, 1991) was an American actor. He began his acting career on Broadway, later appearing in numerous films and television series. He is perhaps best known for his film and TV roles in The Lawless (1950), When Worlds Collide (1951), Julius Caesar (1953), Blackboard Jungle (1955), Spartacus (1960), Cleopatra (1963), Flesh Gordon (1974), and Gimme a Break!"	"http://dbpedia.org/resource/Santa_Cruz,_California"	John Hoyt	https://dbpedia.org/page/John_Hoyt	http://en.wikipedia.org/wiki/John_Hoyt?oldid=1118165482&ns=0
"Franziska (""Franzi"") Gude (born 19 March 1976 in Göttingen, Lower Saxony) is a field hockey midfielder from Germany, who won the gold medal with the German National Women's Team at the 2004 Summer Olympics in Athens, Greece."	http://dbpedia.org/resource/Category:German_female_field_hockey_players	Franziska Gude	https://dbpedia.org/page/Franziska_Gude	http://en.wikipedia.org/wiki/Franziska_Gude?oldid=1113288222&ns=0
"Eugen Sutermeister (1862–1931) was a Swiss graveur and writer. In 1911, he founded the Sonos Society for people with hearing losses. Since 1912 he was member of the French Academy."	http://commons.wikimedia.org/wiki/Special:FilePath/Eugen_Sutermeister.jpg?width=300	Eugen Sutermeister	https://dbpedia.org/page/Eugen_Sutermeister	http://en.wikipedia.org/wiki/Eugen_Sutermeister?oldid=1028425341&ns=0
"The Lugano District (Italian: Distretto di Lugano also called Luganese) is a district of Canton of Ticino, southern Switzerland. The capital is the city of Lugano. It has a population of 150,556 (as of 31 December 2020)."	http://dbpedia.org/resource/Switzerland	Lugano District	https://dbpedia.org/page/Lugano_District	http://en.wikipedia.org/wiki/Lugano_District?oldid=1120185821&ns=0
Stefan Kaufmann (born 21 August 1969 in Stuttgart) is a German politician of the Christian Democratic Union (CDU) who has been serving as a member of the German Bundestag from 2009 to October 2021.	http://dbpedia.org/resource/Christian_Democratic_Union_(Germany)	Stefan Kaufmann (politician)	https://dbpedia.org/page/Stefan_Kaufmann_(politician)	http://en.wikipedia.org/wiki/Stefan_Kaufmann_(politician)?oldid=1119777068&ns=0
Algis Oleknavicius (born 17 August 1947) is a German former cyclist. He competed for West Germany in the team time trial at the 1972 Summer Olympics.	http://commons.wikimedia.org/wiki/Special:FilePath/Algis_Oleknavicius_01.jpg?width=300	Algis Oleknavicius	https://dbpedia.org/page/Algis_Oleknavicius	http://en.wikipedia.org/wiki/Algis_Oleknavicius?oldid=1111086118&ns=0
"Évora District (Portuguese: Distrito de Évora [ˈɛvuɾɐ]) is located in Alentejo, in southern Portugal. The district capital is the city of Évora."	http://dbpedia.org/resource/Portugal	Évora District	https://dbpedia.org/page/%C3%89vora_District	http://en.wikipedia.org/wiki/Évora_District?oldid=1092574895&ns=0
"Homa Darabi (Persian: هما دارابی; 1940–1994) was an Iranian pediatrician, academic, and political activist affiliated with the Nation Party of Iran. She is known for her political self-immolation in protest to the compulsory hijab, which led to her death."	http://dbpedia.org/resource/Tehran_University_of_Medical_Sciences	Homa Darabi	https://dbpedia.org/page/Homa_Darabi	http://en.wikipedia.org/wiki/Homa_Darabi?oldid=1119302636&ns=0
"Andrea Maria Nahles (born 20 June 1970) is a former German politician who has been the director of the Federal Employment Agency (BA) since 2022. Nahles is best known for having served as leader of the Social Democratic Party (SPD) from April 2018 until June 2019 and the leader of the SPD in the Bundestag from September 2017 until June 2019. She served as a Federal Minister of Labour and Social Affairs from 2013 to 2017 and SPD Youth leader. From 2020 to 2022, she was the president of the Federal Posts and Telecommunications Agency."	http://dbpedia.org/resource/University_of_Bonn	Andrea Nahles	https://dbpedia.org/page/Andrea_Nahles	http://en.wikipedia.org/wiki/Andrea_Nahles?oldid=1120118299&ns=0
